time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,2048030_c,2048030_p,2048030_r,2048030_s,3814937_c,3814937_h,3814937_p,3814937_r,3814937_s,3816381_c,3816381_h,3816381_p,3816381_r,3816381_s
2023-05-30 18:55:00,,46.71,29.6,29.4,29.5,27.9,27.9,[27.9],,0.75,,,,29.6,0.78,26.5,26.0,,29.4,0.0,,
2023-05-30 19:00:00,,46.28,29.6,29.0,29.3,27.8,27.8,[27.8],,0.75,,,,29.6,4.72,26.0,26.0,,29.0,0.0,,
2023-05-30 19:05:00,,46.31999999999999,29.5,29.2,29.35,27.8,27.8,[27.8],,0.78,,,,29.5,0.58,28.0,26.0,,29.2,0.0,,
2023-05-30 19:10:00,,46.69,29.6,29.6,29.6,28.1,28.1,[28.1],,0.77,,,,29.6,4.69,26.5,26.0,,29.6,0.0,,
2023-05-30 19:15:00,,46.33,29.5,29.2,29.35,27.9,27.9,[27.9],,0.78,,,,29.5,0.58,27.5,26.0,,29.2,0.0,,
2023-05-30 19:20:00,,46.3,,,,27.7,27.7,[27.7],,0.78,,,,,4.76,27.0,26.0,,,0.0,,
2023-05-30 19:25:00,,46.75,29.6,29.4,29.5,28.1,28.1,[28.1],,0.77,,,,29.6,4.92,29.0,26.0,,29.4,0.0,,
2023-05-30 19:30:00,,46.3,29.5,29.5,29.5,28.0,28.0,[28.0],,0.74,,,,29.5,4.78,26.5,26.0,,29.5,0.0,,
2023-05-30 19:35:00,,46.29,29.5,29.1,29.3,27.9,27.9,[27.9],,0.77,,,,29.5,4.7,27.5,26.0,,29.1,0.0,,
2023-05-30 19:40:00,,46.7,29.5,29.1,29.3,27.6,27.6,[27.6],,0.78,,,,29.5,0.79,26.0,26.0,,29.1,0.0,,
2023-05-30 19:45:00,,46.78,29.7,29.6,29.65,28.0,28.0,[28.0],,0.77,,,,29.7,4.85,27.5,26.0,,29.6,0.0,,
2023-05-30 19:50:00,,46.34,29.5,29.3,29.4,27.7,27.7,[27.7],,0.77,,,,29.5,0.58,27.0,26.0,,29.3,0.0,,
2023-05-30 19:55:00,,46.45,29.8,29.3,29.55,27.9,27.9,[27.9],,0.8,,,,29.8,4.87,27.5,26.0,,29.3,0.0,,
2023-05-30 20:00:00,,46.82,30.1,29.8,29.950000000000003,28.2,28.2,[28.2],,0.8,,,,29.8,0.58,29.0,26.0,,30.1,0.0,,
2023-05-30 20:05:00,,46.31999999999999,29.9,29.9,29.9,28.1,28.1,[28.1],,0.76,,,,29.9,4.74,26.5,26.0,,29.9,0.0,,
2023-05-30 20:10:00,,46.33,29.9,29.5,29.7,27.9,27.9,[27.9],,0.77,,,,29.9,0.58,28.0,26.0,,29.5,0.0,,
2023-05-30 20:15:00,,46.67,29.7,29.1,29.4,27.8,27.8,[27.8],,0.77,,,,29.7,4.6,27.0,26.0,,29.1,0.0,,
2023-05-30 20:20:00,,46.36,29.6,29.5,29.55,28.1,28.1,[28.1],,0.78,,,,29.6,4.59,28.5,26.0,,29.5,0.0,,
2023-05-30 20:25:00,,46.73,29.8,29.5,29.65,27.8,27.8,[27.8],,0.79,,,,29.8,4.7,26.0,26.0,,29.5,0.0,,
2023-05-30 20:30:00,,46.28,29.7,29.5,29.6,27.5,27.5,[27.5],,0.77,,,,29.7,4.85,27.0,26.0,,29.5,0.0,,
2023-05-30 20:35:00,,46.31,29.5,29.1,29.3,27.6,27.6,[27.6],,0.78,,,,29.5,0.79,26.5,26.0,,29.1,0.0,,
2023-05-30 20:40:00,,46.8,29.7,29.6,29.65,27.8,27.8,[27.8],,0.77,,,,29.7,4.79,27.0,26.0,,29.6,0.0,,
2023-05-30 20:45:00,,46.31,29.6,29.4,29.5,27.6,27.6,[27.6],,0.79,,,,29.6,0.58,27.0,26.0,,29.4,0.0,,
2023-05-30 20:50:00,,46.27,29.6,29.4,29.5,27.4,27.4,[27.4],,0.78,,,,29.6,4.76,26.0,26.0,,29.4,0.0,,
2023-05-30 20:55:00,,46.75,29.5,29.2,29.35,27.6,27.6,[27.6],,0.79,,,,29.5,0.58,28.5,26.0,,29.2,0.0,,
2023-05-30 21:00:00,,46.370000000000005,29.5,29.5,29.5,27.9,27.9,[27.9],,0.77,,,,29.5,4.71,26.5,26.0,,29.5,0.0,,
2023-05-30 21:05:00,,46.31999999999999,29.5,29.2,29.35,27.8,27.8,[27.8],,0.76,,,,29.5,0.58,28.0,26.0,,29.2,0.0,,
2023-05-30 21:10:00,,46.7,29.5,29.2,29.35,27.5,27.5,[27.5],,0.79,,,,29.5,4.82,26.0,26.0,,29.2,0.0,,
2023-05-30 21:15:00,,46.33,29.6,29.4,29.5,28.1,28.1,[28.1],,0.76,,,,29.6,4.86,28.5,26.0,,29.4,0.0,,
2023-05-30 21:20:00,,46.34,29.6,29.4,29.5,27.6,27.6,[27.6],,0.77,,,,29.6,4.71,26.0,26.0,,29.4,0.0,,
2023-05-30 21:25:00,,46.72,29.6,29.0,29.3,27.6,27.6,[27.6],,0.78,,,,29.6,4.77,26.5,26.0,,29.0,0.0,,
2023-05-30 21:30:00,,46.31,29.5,29.1,29.3,27.6,27.6,[27.6],,0.77,,,,29.5,0.75,27.0,26.0,,29.1,0.0,,
2023-05-30 21:35:00,,46.81999999999999,29.7,29.5,29.6,27.7,27.7,[27.7],,0.77,,,,29.7,4.7,27.0,26.0,,29.5,0.0,,
2023-05-30 21:40:00,,46.7,29.7,29.2,29.45,27.8,27.8,[27.8],,0.78,,,,29.7,0.59,27.5,26.0,,29.2,0.0,,
2023-05-30 21:45:00,,46.28,29.5,28.9,29.2,27.5,27.5,[27.5],,0.74,,,,29.5,4.8,27.0,26.0,,28.9,0.0,,
2023-05-30 21:50:00,,46.39,29.5,28.9,29.2,27.7,27.7,[27.7],,0.77,,,,29.5,0.58,28.5,26.0,,28.9,0.0,,
2023-05-30 21:55:00,,46.79,29.6,29.4,29.5,27.7,27.7,[27.7],,0.76,,,,29.6,4.87,26.5,26.0,,29.4,0.0,,
2023-05-30 22:00:00,,46.3,29.6,29.1,29.35,27.6,27.6,[27.6],,0.78,,,,29.6,4.73,28.0,26.0,,29.1,0.0,,
2023-05-30 22:05:00,,46.32,29.4,29.0,29.2,27.6,27.6,[27.6],,0.76,,,,29.4,4.68,26.0,26.0,,29.0,0.0,,
2023-05-30 22:10:00,,46.74,29.7,29.5,29.6,27.9,27.9,[27.9],,0.74,,,,29.7,4.9,28.0,26.0,,29.5,0.0,,
2023-05-30 22:15:00,,46.34,29.6,29.5,29.55,27.9,27.9,[27.9],,0.78,,,,29.6,0.78,26.0,26.0,,29.5,0.0,,
2023-05-30 22:20:00,,46.31,29.6,29.0,29.3,27.4,27.4,[27.4],,0.78,,,,29.6,4.94,26.5,26.0,,29.0,0.0,,
2023-05-30 22:25:00,,46.68000000000001,29.6,28.9,29.25,27.2,27.2,[27.2],,0.78,,,,29.6,0.58,27.5,26.0,,28.9,0.0,,
2023-05-30 22:30:00,,46.67999999999999,29.4,28.9,29.15,27.9,27.9,[27.9],,0.77,,,,29.4,4.84,26.5,26.0,,28.9,0.0,,
2023-05-30 22:35:00,,46.34,29.5,29.4,29.45,27.5,27.5,[27.5],,0.77,,,,29.5,0.58,28.0,26.0,,29.4,0.0,,
2023-05-30 22:40:00,,46.43,29.5,29.2,29.35,27.9,27.9,[27.9],,0.77,,,,29.5,4.77,26.5,26.0,,29.2,0.0,,
2023-05-30 22:45:00,,46.85,30.1,29.9,30.0,28.4,28.4,[28.4],,0.76,,,,29.9,4.76,29.0,26.0,,30.1,0.0,,
2023-05-30 22:50:00,,46.33,30.1,29.9,30.0,28.0,28.0,[28.0],,0.74,,,,29.9,4.7,26.5,26.0,,30.1,0.0,,
2023-05-30 22:55:00,,46.32,29.9,29.5,29.7,27.6,27.6,[27.6],,0.76,,,,29.9,4.7,27.5,26.0,,29.5,0.0,,
2023-05-30 23:00:00,,46.14,29.5,29.1,29.3,27.6,27.6,[27.6],,0.76,,,,29.5,0.9,26.0,26.0,,29.1,0.0,,
2023-05-30 23:05:00,,46.37,29.5,29.5,29.5,27.8,27.8,[27.8],,0.74,,,,29.5,4.73,27.5,26.0,,29.5,0.0,,
2023-05-30 23:10:00,,46.3,29.5,29.3,29.4,27.6,27.6,[27.6],,0.74,,,,29.5,0.77,26.5,26.0,,29.3,0.0,,
