time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3835716_c,3835716_h,3835716_r,3835716_s,3835717_c,3835717_h,3835717_r,3835717_s,3835718_c,3835718_h,3835718_r,3835718_s,3835719_c,3835719_h,3835719_r,3835719_s,3835720_c,3835720_h,3835720_r,3835720_s
2023-06-01 08:35:00,27.7,36.4,26.6,31.36,26.2,26.2,[26.2],1.0,28.7,24.0,24.0,1.0,36.4,26.0,24.0,1.0,26.6,24.0,24.0,1.0,28.7,26.0,25.0,1.0,36.4,26.0,24.0
2023-06-01 08:40:00,27.8,36.5,26.3,31.26,26.2,26.2,[26.2],1.0,28.5,25.0,24.0,1.0,36.5,26.0,24.0,1.0,26.3,25.0,24.0,1.0,28.5,26.0,25.0,1.0,36.5,26.0,24.0
2023-06-01 08:45:00,28.2,36.4,26.2,31.08,26.2,26.2,[26.2],1.0,28.2,25.0,24.0,1.0,36.4,25.0,24.0,1.0,26.2,25.0,24.0,1.0,28.2,26.0,25.0,1.0,36.4,25.0,24.0
2023-06-01 08:50:00,28.7,36.3,26.2,30.919999999999995,25.8,25.8,[25.8],1.0,27.9,24.0,24.0,1.0,36.3,26.0,24.0,1.0,26.2,25.0,24.0,1.0,27.9,25.0,25.0,1.0,36.3,26.0,24.0
2023-06-01 08:55:00,28.7,36.4,26.1,30.86,25.9,25.9,[25.9],1.0,27.7,25.0,24.0,1.0,36.4,26.0,24.0,1.0,26.1,26.0,24.0,1.0,27.7,26.0,25.0,1.0,36.4,26.0,24.0
2023-06-01 09:00:00,28.5,36.4,26.1,30.86,25.9,25.9,[25.9],1.0,27.7,25.0,24.0,1.0,36.4,25.0,24.0,1.0,26.1,24.0,24.0,1.0,27.7,26.0,25.0,1.0,36.4,26.0,24.0
2023-06-01 09:05:00,28.6,36.4,26.1,30.86,26.3,26.3,[26.3],1.0,27.7,26.0,24.0,1.0,36.4,25.0,24.0,1.0,26.1,26.0,24.0,1.0,27.7,27.0,25.0,1.0,36.4,26.0,24.0
2023-06-01 09:10:00,28.8,36.6,26.9,31.18,26.4,26.4,[26.4],1.0,27.9,26.0,24.0,1.0,36.6,26.0,24.0,1.0,26.9,25.0,24.0,1.0,27.9,26.0,25.0,1.0,36.6,26.0,24.0
2023-06-01 09:15:00,29.1,36.7,26.9,31.540000000000003,26.3,26.3,[26.3],1.0,28.7,24.0,24.0,1.0,36.7,25.0,24.0,1.0,26.9,24.0,24.0,1.0,28.7,26.0,25.0,1.0,36.7,26.0,24.0
2023-06-01 09:20:00,29.1,36.7,26.2,31.24,26.1,26.1,[26.1],1.0,28.3,25.0,24.0,1.0,36.7,25.0,24.0,1.0,26.2,25.0,24.0,1.0,28.3,26.0,25.0,1.0,36.7,26.0,24.0
2023-06-01 09:25:00,29.0,36.5,26.2,31.160000000000004,26.1,26.1,[26.1],1.0,28.3,25.0,24.0,1.0,36.5,26.0,24.0,1.0,26.2,25.0,24.0,1.0,28.3,26.0,25.0,1.0,36.5,26.0,24.0
2023-06-01 09:30:00,29.1,36.6,26.4,31.12,26.3,26.3,[26.3],1.0,28.0,26.0,24.0,1.0,36.6,26.0,24.0,1.0,26.4,26.0,24.0,1.0,28.0,27.0,25.0,1.0,36.6,26.0,24.0
2023-06-01 09:35:00,29.2,36.8,26.8,31.48,26.5,26.5,[26.5],1.0,28.5,26.0,24.0,1.0,36.8,25.0,24.0,1.0,26.8,25.0,24.0,1.0,28.5,26.0,25.0,1.0,36.8,26.0,24.0
2023-06-01 09:40:00,29.2,36.7,26.8,31.6,26.5,26.5,[26.5],1.0,28.9,26.0,24.0,1.0,36.7,25.0,24.0,1.0,26.8,25.0,24.0,1.0,28.9,26.0,25.0,1.0,36.7,25.0,24.0
2023-06-01 09:45:00,28.9,36.5,26.4,31.360000000000003,26.1,26.1,[26.1],1.0,28.7,25.0,24.0,1.0,36.5,26.0,24.0,1.0,26.4,25.0,24.0,1.0,28.7,26.0,25.0,1.0,36.5,26.0,24.0
2023-06-01 09:50:00,28.7,36.5,26.3,31.18,26.2,26.2,[26.2],1.0,28.3,25.0,24.0,1.0,36.5,26.0,24.0,1.0,26.3,26.0,24.0,1.0,28.3,26.0,25.0,1.0,36.5,27.0,24.0
2023-06-01 09:55:00,28.7,36.5,26.2,31.08,26.2,26.2,[26.2],1.0,28.1,25.0,24.0,1.0,36.5,25.0,24.0,1.0,26.2,26.0,24.0,1.0,28.1,26.0,25.0,1.0,36.5,26.0,24.0
2023-06-01 10:00:00,28.8,36.5,26.1,30.98,26.1,26.1,[26.1],1.0,27.9,25.0,24.0,1.0,36.5,26.0,24.0,1.0,26.1,25.0,24.0,1.0,27.9,26.0,25.0,1.0,36.5,26.0,24.0
2023-06-01 10:05:00,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-01 10:10:00,28.8,36.3,26.6,31.079999999999995,26.5,26.5,[26.5],1.0,28.1,26.0,24.0,1.0,36.3,26.0,24.0,1.0,26.6,26.0,24.0,1.0,28.1,26.0,25.0,1.0,36.3,26.0,24.0
2023-06-01 10:15:00,28.3,36.6,26.9,31.42,26.4,26.4,[26.4],1.0,28.5,26.0,24.0,1.0,36.6,25.0,24.0,1.0,26.9,26.0,24.0,1.0,28.5,26.0,25.0,1.0,36.6,26.0,24.0
2023-06-01 10:20:00,28.6,36.6,26.5,31.34,26.1,26.1,[26.1],1.0,28.5,25.0,24.0,1.0,36.6,26.0,24.0,1.0,26.5,25.0,24.0,1.0,28.5,25.0,25.0,1.0,36.6,26.0,24.0
2023-06-01 10:25:00,28.6,36.5,26.3,31.18,26.1,26.1,[26.1],1.0,28.3,25.0,24.0,1.0,36.5,26.0,24.0,1.0,26.3,25.0,24.0,1.0,28.3,26.0,25.0,1.0,36.5,26.0,24.0
2023-06-01 10:30:00,28.7,36.4,26.3,31.14,26.0,26.0,[26.0],1.0,28.3,24.0,24.0,1.0,36.4,25.0,24.0,1.0,26.3,25.0,24.0,1.0,28.3,25.0,25.0,1.0,36.4,26.0,24.0
2023-06-01 10:35:00,28.8,36.5,26.4,31.12,26.3,26.3,[26.3],1.0,28.1,26.0,24.0,1.0,36.5,25.0,24.0,1.0,26.4,26.0,24.0,1.0,28.1,26.0,25.0,1.0,36.5,26.0,24.0
2023-06-01 10:40:00,29.7,36.5,26.6,31.16,25.9,25.9,[25.9],1.0,28.1,26.0,24.0,1.0,36.5,25.0,24.0,1.0,26.6,27.0,24.0,1.0,28.1,26.0,25.0,1.0,36.5,26.0,24.0
2023-06-01 10:45:00,30.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-01 10:50:00,30.3,36.4,26.2,31.160000000000004,26.0,26.0,[26.0],1.0,28.4,25.0,24.0,1.0,36.4,26.0,24.0,1.0,26.2,26.0,24.0,1.0,28.4,26.0,25.0,1.0,36.4,26.0,24.0
