time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3812492_c,3812492_h,3812492_p,3812492_r,3812492_s,3816385_h
2023-06-01 11:05:00,27.1,4.33,30.9,30.9,30.9,29.0,29.0,[29.0],,30.9,0.53,28.0,28.0,30.9
2023-06-01 11:10:00,,,,,,,,,,,,,,
2023-06-01 11:15:00,,,,,,,,,,,,,,
2023-06-01 11:20:00,28.2,,,,,,,,,,,,,
2023-06-01 11:25:00,28.1,4.42,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.53,28.0,28.0,30.8
2023-06-01 11:30:00,27.9,4.47,30.9,30.9,30.9,29.3,29.3,[29.3],,30.9,0.53,27.0,28.0,30.9
2023-06-01 11:35:00,28.1,4.4,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.53,27.0,28.0,30.8
2023-06-01 11:40:00,27.7,4.34,30.7,30.7,30.7,28.9,28.9,[28.9],,30.7,0.53,27.0,28.0,30.7
2023-06-01 11:45:00,27.6,4.49,30.6,30.6,30.6,29.0,29.0,[29.0],,30.6,0.53,28.0,28.0,30.6
2023-06-01 11:50:00,27.4,4.41,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.53,27.5,28.0,30.8
2023-06-01 11:55:00,27.1,4.3,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.53,27.0,28.0,30.8
2023-06-01 12:00:00,27.1,4.56,30.7,30.7,30.7,28.9,28.9,[28.9],,30.7,0.53,27.0,28.0,30.7
2023-06-01 12:05:00,27.2,4.32,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.53,27.5,28.0,30.8
2023-06-01 12:10:00,27.2,4.42,31.0,31.0,31.0,29.3,29.3,[29.3],,31.0,0.53,27.0,28.0,31.0
2023-06-01 12:15:00,26.7,4.32,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.53,27.0,28.0,30.8
2023-06-01 12:20:00,27.0,4.35,30.8,30.8,30.8,29.0,29.0,[29.0],,30.8,0.53,27.0,28.0,30.8
2023-06-01 12:25:00,27.2,4.38,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.53,27.5,28.0,30.8
2023-06-01 12:30:00,27.5,4.46,31.0,31.0,31.0,29.2,29.2,[29.2],,31.0,0.53,27.0,28.0,31.0
2023-06-01 12:35:00,27.3,4.4,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.53,27.0,28.0,30.8
2023-06-01 12:40:00,27.2,4.53,30.8,30.8,30.8,29.0,29.0,[29.0],,30.8,0.53,27.0,28.0,30.8
2023-06-01 12:45:00,26.8,4.5,30.9,30.9,30.9,29.3,29.3,[29.3],,30.9,0.53,27.5,28.0,30.9
2023-06-01 12:50:00,26.8,4.67,30.9,30.9,30.9,29.2,29.2,[29.2],,30.9,0.53,27.0,28.0,30.9
2023-06-01 12:55:00,27.2,4.34,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.53,27.0,28.0,30.8
2023-06-01 13:00:00,27.5,4.44,30.7,30.7,30.7,29.0,29.0,[29.0],,30.7,0.53,27.5,28.0,30.7
2023-06-01 13:05:00,27.8,4.45,30.8,30.8,30.8,29.3,29.3,[29.3],,30.8,0.53,27.5,28.0,30.8
2023-06-01 13:10:00,26.6,4.68,30.9,30.9,30.9,29.2,29.2,[29.2],,30.9,0.54,27.0,28.0,30.9
2023-06-01 13:15:00,26.6,4.61,30.9,30.9,30.9,29.0,29.0,[29.0],,30.9,0.54,27.0,28.0,30.9
2023-06-01 13:20:00,26.7,4.31,30.6,30.6,30.6,29.0,29.0,[29.0],,30.6,0.54,27.0,28.0,30.6
2023-06-01 13:25:00,26.6,4.3,30.7,30.7,30.7,29.3,29.3,[29.3],,30.7,0.54,28.0,28.0,30.7
2023-06-01 13:30:00,26.9,4.42,30.9,30.9,30.9,29.3,29.3,[29.3],,30.9,0.53,27.0,28.0,30.9
2023-06-01 13:35:00,26.8,,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.54,27.0,28.0,30.8
2023-06-01 13:40:00,26.8,4.33,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.54,27.5,28.0,30.8
2023-06-01 13:45:00,26.0,4.4,30.7,30.7,30.7,29.4,29.4,[29.4],,30.7,0.54,27.5,28.0,30.7
2023-06-01 13:50:00,26.0,4.35,30.7,30.7,30.7,29.3,29.3,[29.3],,30.7,0.54,27.5,28.0,30.7
2023-06-01 13:55:00,25.4,4.35,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.54,26.5,28.0,30.8
2023-06-01 14:00:00,25.4,4.57,30.6,30.6,30.6,29.1,29.1,[29.1],,30.6,0.54,27.5,28.0,30.6
2023-06-01 14:05:00,25.7,4.29,30.6,30.6,30.6,29.3,29.3,[29.3],,30.6,0.54,27.5,28.0,30.6
2023-06-01 14:10:00,24.9,4.42,30.9,30.9,30.9,29.3,29.3,[29.3],,30.9,0.54,27.0,28.0,30.9
2023-06-01 14:15:00,25.1,4.38,30.9,30.9,30.9,29.1,29.1,[29.1],,30.9,0.54,27.0,28.0,30.9
2023-06-01 14:20:00,25.7,4.31,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.53,28.0,28.0,30.8
2023-06-01 14:25:00,25.9,4.43,30.8,30.8,30.8,29.4,29.4,[29.4],,30.8,0.54,27.5,28.0,30.8
2023-06-01 14:30:00,26.0,4.39,30.9,30.9,30.9,29.2,29.2,[29.2],,30.9,0.54,27.0,28.0,30.9
2023-06-01 14:35:00,25.8,4.35,30.9,30.9,30.9,29.1,29.1,[29.1],,30.9,0.54,26.5,28.0,30.9
2023-06-01 14:40:00,25.9,4.25,30.6,30.6,30.6,29.1,29.1,[29.1],,30.6,0.54,28.0,28.0,30.6
2023-06-01 14:45:00,26.0,4.26,30.8,30.8,30.8,29.4,29.4,[29.4],,30.8,0.54,27.5,28.0,30.8
2023-06-01 14:50:00,26.3,4.33,30.9,30.9,30.9,29.3,29.3,[29.3],,30.9,0.54,27.0,28.0,30.9
2023-06-01 14:55:00,26.4,4.25,30.9,30.9,30.9,29.1,29.1,[29.1],,30.9,0.54,27.0,28.0,30.9
2023-06-01 15:00:00,26.1,4.22,30.7,30.7,30.7,29.2,29.2,[29.2],,30.7,0.54,28.0,28.0,30.7
2023-06-01 15:05:00,26.0,4.35,30.8,30.8,30.8,29.4,29.4,[29.4],,30.8,0.54,27.5,28.0,30.8
2023-06-01 15:10:00,26.3,4.36,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.54,27.0,28.0,30.8
2023-06-01 15:15:00,26.0,4.33,30.7,30.7,30.7,29.1,29.1,[29.1],,30.7,0.54,27.0,28.0,30.7
