time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,43294_c,43294_p,43294_r,43294_s,43295_c,43295_h,43295_p,43295_r,43295_s
2023-05-30 19:35:00,,26.0,31.5,31.5,31.5,26.4,26.4,[26.4],1.0,3.98,26.8,27.0,1.0,31.5,26.34,26.9,27.0
2023-05-30 19:40:00,,26.0,31.5,31.5,31.5,25.6,25.6,[25.6],1.0,3.98,25.1,27.0,1.0,31.5,26.16,25.1,27.0
2023-05-30 19:45:00,,26.0,30.6,30.6,30.6,25.8,25.8,[25.8],1.0,3.98,25.8,27.0,1.0,30.6,2.52,25.8,27.0
2023-05-30 19:50:00,,26.0,30.7,30.7,30.7,26.2,26.2,[26.2],1.0,3.98,26.0,27.0,1.0,30.7,26.04,26.3,27.0
2023-05-30 19:55:00,,26.0,31.2,31.2,31.2,26.2,26.2,[26.2],1.0,3.98,25.6,27.0,1.0,31.2,26.04,26.0,27.0
2023-05-30 20:00:00,,26.0,31.2,31.2,31.2,26.2,26.2,[26.2],1.0,3.98,25.7,27.0,1.0,31.2,2.52,26.0,27.0
2023-05-30 20:05:00,,26.0,31.2,31.2,31.2,26.4,26.4,[26.4],1.0,3.98,25.9,27.0,1.0,31.2,25.8,26.4,27.0
2023-05-30 20:10:00,,26.0,31.5,31.5,31.5,26.4,26.4,[26.4],1.0,3.98,25.7,27.0,1.0,31.5,26.16,26.1,27.0
2023-05-30 20:15:00,,26.0,31.5,31.5,31.5,26.4,26.4,[26.4],1.0,3.98,26.9,27.0,1.0,31.5,2.52,26.9,27.0
2023-05-30 20:20:00,,26.0,31.5,31.5,31.5,25.7,25.7,[25.7],1.0,5.98,24.9,27.0,1.0,31.5,26.1,23.5,27.0
2023-05-30 20:25:00,,26.0,30.9,30.9,30.9,25.6,25.6,[25.6],1.0,3.98,25.7,27.0,1.0,30.9,2.52,25.6,27.0
2023-05-30 20:30:00,,26.0,30.7,30.7,30.7,26.1,26.1,[26.1],1.0,3.98,25.8,27.0,1.0,30.7,25.8,26.2,27.0
2023-05-30 20:35:00,,26.0,31.0,31.0,31.0,26.2,26.2,[26.2],1.0,3.98,25.5,27.0,1.0,31.0,25.92,25.9,27.0
2023-05-30 20:40:00,,26.0,31.1,31.1,31.1,26.3,26.3,[26.3],1.0,3.98,26.8,27.0,1.0,31.1,2.52,26.8,27.0
2023-05-30 20:45:00,,26.0,31.3,31.3,31.3,25.7,25.7,[25.7],1.0,45.81,24.9,27.0,1.0,31.3,26.16,23.8,27.0
2023-05-30 20:50:00,,26.0,31.0,31.0,31.0,25.5,25.5,[25.5],1.0,3.98,24.9,27.0,1.0,31.0,25.92,25.1,27.0
2023-05-30 20:55:00,,26.0,30.4,30.4,30.4,26.0,26.0,[26.0],1.0,3.98,26.3,27.0,1.0,30.4,25.62,26.5,27.0
2023-05-30 21:00:00,,26.0,30.9,30.9,30.9,26.2,26.2,[26.2],1.0,3.98,25.7,27.0,1.0,30.9,25.68,25.9,27.0
2023-05-30 21:05:00,,26.0,31.1,31.1,31.1,26.2,26.2,[26.2],1.0,3.98,26.1,27.0,1.0,31.1,2.52,26.2,27.0
2023-05-30 21:10:00,,26.0,31.1,31.1,31.1,26.4,26.4,[26.4],1.0,3.99,26.0,27.0,1.0,31.1,25.74,26.4,27.0
2023-05-30 21:15:00,,26.0,31.4,31.4,31.4,26.3,26.3,[26.3],1.0,3.99,25.7,27.0,1.0,31.4,25.68,26.0,27.0
2023-05-30 21:20:00,,26.0,31.4,31.4,31.4,26.4,26.4,[26.4],1.0,3.98,26.5,27.0,1.0,31.4,24.72,26.6,27.0
2023-05-30 21:25:00,,26.0,31.5,31.5,31.5,25.7,25.7,[25.7],1.0,3.98,25.0,27.0,1.0,31.5,25.68,24.2,27.0
2023-05-30 21:30:00,,26.0,30.8,30.8,30.8,25.9,25.9,[25.9],1.0,3.98,26.8,27.0,1.0,30.8,2.52,26.4,27.0
2023-05-30 21:35:00,,26.0,31.2,31.2,31.2,26.3,26.3,[26.3],1.0,3.98,25.9,27.0,1.0,31.2,25.8,26.3,27.0
2023-05-30 21:40:00,,26.0,31.2,31.2,31.2,26.2,26.2,[26.2],1.0,3.98,25.6,27.0,1.0,31.2,25.74,26.0,27.0
2023-05-30 21:45:00,,26.0,31.2,31.2,31.2,26.4,26.4,[26.4],1.0,3.98,26.6,27.0,1.0,31.2,24.96,27.0,27.0
2023-05-30 21:50:00,,26.0,31.4,31.4,31.4,25.7,25.7,[25.7],1.0,3.98,25.6,27.0,1.0,31.4,2.88,24.5,27.0
2023-05-30 21:55:00,,26.0,30.8,30.8,30.8,26.0,26.0,[26.0],1.0,3.98,26.8,27.0,1.0,30.8,24.72,26.2,27.0
2023-05-30 22:00:00,,26.0,31.1,31.1,31.1,26.2,26.2,[26.2],1.0,3.98,25.6,27.0,1.0,31.1,25.62,25.9,27.0
2023-05-30 22:05:00,,26.0,31.1,31.1,31.1,26.2,26.2,[26.2],1.0,3.98,26.1,27.0,1.0,31.1,2.52,26.2,27.0
2023-05-30 22:10:00,,26.0,31.1,31.1,31.1,26.4,26.4,[26.4],1.0,3.98,26.1,27.0,1.0,31.1,25.32,26.4,27.0
2023-05-30 22:15:00,,26.0,31.5,31.5,31.5,26.4,26.4,[26.4],1.0,3.98,25.6,27.0,1.0,31.5,25.44,26.1,27.0
2023-05-30 22:20:00,,26.0,31.4,31.4,31.4,26.5,26.5,[26.5],1.0,3.98,26.7,27.0,1.0,31.4,27.6,27.1,27.0
2023-05-30 22:25:00,,26.0,31.6,31.6,31.6,25.7,25.7,[25.7],1.0,3.99,25.0,27.0,1.0,31.6,25.38,24.4,27.0
2023-05-30 22:30:00,,26.0,30.8,30.8,30.8,25.8,25.8,[25.8],1.0,3.98,26.0,27.0,1.0,30.8,2.52,26.0,27.0
2023-05-30 22:35:00,,26.0,31.3,31.3,31.3,26.2,26.2,[26.2],1.0,3.98,26.1,27.0,1.0,31.3,25.5,26.4,27.0
2023-05-30 22:40:00,,26.0,31.4,31.4,31.4,26.3,26.3,[26.3],1.0,3.98,25.7,27.0,1.0,31.4,25.74,26.0,27.0
2023-05-30 22:45:00,,26.0,31.4,31.4,31.4,26.4,26.4,[26.4],1.0,3.98,26.7,27.0,1.0,31.4,2.52,26.7,27.0
2023-05-30 22:50:00,,26.0,31.4,31.4,31.4,25.8,25.8,[25.8],1.0,5.0,24.9,27.0,1.0,31.4,25.62,24.6,27.0
2023-05-30 22:55:00,,26.0,31.0,31.0,31.0,25.6,25.6,[25.6],1.0,3.98,25.4,27.0,1.0,31.0,3.0,25.3,27.0
2023-05-30 23:00:00,,26.0,30.5,30.5,30.5,26.1,26.1,[26.1],1.0,3.98,26.4,27.0,1.0,30.5,25.86,26.6,27.0
2023-05-30 23:05:00,,26.0,31.2,31.2,31.2,26.2,26.2,[26.2],1.0,3.98,25.7,27.0,1.0,31.2,25.5,26.1,27.0
2023-05-30 23:10:00,,26.0,31.2,31.2,31.2,26.2,26.2,[26.2],1.0,3.98,25.7,27.0,1.0,31.2,2.52,26.0,27.0
2023-05-30 23:15:00,,26.0,31.2,31.2,31.2,26.1,26.1,[26.1],1.0,46.8,25.5,27.0,1.0,31.2,24.96,24.6,27.0
2023-05-30 23:20:00,,26.0,31.2,31.2,31.2,25.8,25.8,[25.8],1.0,3.98,26.8,27.0,1.0,31.2,28.32,26.3,27.0
