time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,2048082_h,3811493_h,3816387_c,3816387_h,3816387_p,3816387_r,3816387_s,3839078_h
2023-05-30 21:55:00,,94.81,28.7,26.6,27.65,28.3,28.3,[28.3],26.6,28.7,,28.7,0.65,26.5,26.0,26.6
2023-05-30 22:00:00,,104.09,29.5,26.0,27.9,28.5,28.5,[28.5],26.0,29.5,,29.5,4.13,27.5,26.0,26.6
2023-05-30 22:05:00,,102.18,28.7,26.0,27.5,28.2,28.2,[28.2],26.0,28.7,,28.7,0.56,27.5,26.0,26.6
2023-05-30 22:10:00,,93.23,28.8,25.6,27.3,28.0,28.0,[28.0],25.6,28.8,,28.8,4.19,27.0,26.0,26.0
2023-05-30 22:15:00,,100.46,29.5,26.4,27.950000000000003,28.2,28.2,[28.2],26.4,29.5,,29.5,0.56,28.5,26.0,26.4
2023-05-30 22:20:00,,105.9,28.7,26.4,27.55,28.0,28.0,[28.0],26.4,28.7,,28.7,4.45,26.5,26.0,26.4
2023-05-30 22:25:00,,92.78,29.3,26.8,28.05,28.3,28.3,[28.3],26.8,29.3,,29.3,4.46,28.5,26.0,26.8
2023-05-30 22:30:00,,105.03,28.8,24.8,27.125,27.8,27.8,[27.8],24.8,28.8,,28.8,4.37,26.0,26.0,26.1
2023-05-30 22:35:00,,104.7,29.5,24.8,27.6,28.4,28.4,[28.4],24.8,29.5,,29.5,4.07,28.0,26.0,26.6
2023-05-30 22:40:00,,96.05,29.5,24.8,27.6,27.8,27.8,[27.8],24.8,29.5,,29.5,3.56,26.0,26.0,26.6
2023-05-30 22:45:00,,104.9,28.8,24.8,27.25,28.0,28.0,[28.0],24.8,28.8,,28.8,4.32,27.5,26.0,26.6
2023-05-30 22:50:00,,89.98,28.6,24.9,26.975,28.0,28.0,[28.0],24.9,28.6,,28.6,0.6,26.5,26.0,25.8
2023-05-30 22:55:00,,104.39,28.6,25.7,27.3,28.3,28.3,[28.3],25.7,28.6,,28.6,4.45,27.0,26.0,26.3
2023-05-30 23:00:00,,97.38,28.8,25.8,27.325000000000003,27.9,27.9,[27.9],25.8,28.8,,28.8,0.57,27.5,26.0,25.9
2023-05-30 23:05:00,,102.93,28.9,25.3,27.325,28.2,28.2,[28.2],25.3,28.9,,28.9,4.27,26.5,26.0,26.2
2023-05-30 23:10:00,,100.82999999999998,29.1,25.3,27.425,28.1,28.1,[28.1],25.3,29.1,,29.1,0.58,28.5,26.0,26.2
2023-05-30 23:15:00,,93.17,28.7,25.0,27.1,27.9,27.9,[27.9],25.0,28.7,,28.7,4.42,26.5,26.0,26.0
2023-05-30 23:20:00,,106.09,29.5,26.8,28.15,28.2,28.2,[28.2],26.8,29.5,,29.5,4.74,28.5,26.0,26.8
2023-05-30 23:25:00,,93.31,28.8,24.8,27.075000000000003,27.9,27.9,[27.9],24.8,28.8,,28.8,4.14,26.0,26.0,25.9
2023-05-30 23:30:00,,104.28,29.3,26.3,27.85,28.4,28.4,[28.4],26.3,29.3,,29.3,4.07,27.5,26.0,26.5
2023-05-30 23:35:00,,,,,,,,,,,,,,,,
2023-05-30 23:40:00,,97.69,29.0,25.7,27.5,28.0,28.0,[28.0],25.7,29.0,,29.0,4.12,27.0,26.0,26.3
2023-05-30 23:45:00,,96.74,28.9,25.2,27.2,27.7,27.7,[27.7],25.2,28.9,,28.9,0.57,27.0,26.0,25.8
2023-05-30 23:50:00,,104.99,29.0,25.4,27.4,27.9,27.9,[27.9],25.4,29.0,,29.0,4.15,26.5,26.0,26.2
2023-05-30 23:55:00,,95.79,29.0,25.9,27.450000000000003,27.9,27.9,[27.9],25.9,29.0,,29.0,0.58,28.0,26.0,25.9
2023-05-31 00:00:00,,103.8,28.8,24.9,27.1,27.7,27.7,[27.7],24.9,28.8,,28.8,4.31,26.5,26.0,25.9
2023-05-31 00:05:00,,97.44,29.3,24.9,27.425,28.0,28.0,[28.0],24.9,29.3,,29.3,4.82,28.5,26.0,26.2
2023-05-31 00:10:00,,99.65,28.7,24.7,26.975,27.7,27.7,[27.7],24.7,28.7,,28.7,4.31,26.0,26.0,25.8
2023-05-31 00:15:00,,96.19,29.3,26.2,27.8,28.2,28.2,[28.2],26.2,29.3,,29.3,4.06,28.0,26.0,26.4
2023-05-31 00:20:00,,96.0,28.4,24.5,26.725,27.5,27.5,[27.5],24.5,28.4,,28.4,0.65,26.0,26.0,25.6
2023-05-31 00:25:00,,96.31,29.3,25.8,27.675,28.1,28.1,[28.1],25.8,29.3,,29.3,4.22,28.5,26.0,26.3
2023-05-31 00:30:00,,95.73,28.6,24.9,26.925,27.7,27.7,[27.7],24.9,28.6,,28.6,0.58,26.5,26.0,25.6
2023-05-31 00:35:00,,104.7,29.1,25.4,27.3,28.0,28.0,[28.0],25.4,29.1,,29.1,4.55,26.5,26.0,25.6
2023-05-31 00:40:00,,89.16999999999999,29.1,25.4,27.325,27.7,27.7,[27.7],25.4,29.1,,29.1,0.59,27.0,26.0,25.7
