time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1358333_c,1358333_h,1358333_r,1358333_s,1358334_c,1358334_h,1358334_r,1358334_s,1358338_c,1358338_h,1358338_r,1358338_s,1358341_c,1358341_h,1358341_r,1358341_s,1358342_c,1358342_h,1358342_r,1358342_s,3826022_c,3826022_h,3826022_r,3826022_s,3826023_c,3826023_h,3826023_r,3826023_s,3826024_c,3826024_h,3826024_r,3826024_s
2023-05-30 17:50:00,,45252.86,26.0,24.6,25.366666666666664,27.2,27.2,[27.2],1.0,24.6,26.6,25.0,1.0,,26.9,25.0,1.0,,26.8,26.0,1.0,,26.7,26.0,1.0,,27.0,25.0,1.0,26.0,27.0,25.0,1.0,,26.6,25.0,1.0,25.5,27.1,25.0
2023-05-30 17:55:00,,45225.77,26.0,25.5,25.666666666666668,27.1,27.1,[27.1],1.0,25.5,26.8,25.0,1.0,,26.7,25.0,1.0,,26.9,26.0,1.0,,26.7,26.0,1.0,,26.7,25.0,1.0,26.0,27.3,25.0,1.0,,26.0,25.0,1.0,25.5,27.5,25.0
2023-05-30 18:00:00,,45159.38,25.8,24.6,25.33333333333333,27.2,27.2,[27.2],1.0,24.6,25.8,25.0,1.0,,26.8,25.0,1.0,,26.6,26.0,1.0,,26.6,26.0,1.0,,26.6,25.0,1.0,25.8,26.8,25.0,1.0,,26.1,25.0,1.0,25.6,27.3,25.0
2023-05-30 18:05:00,,45222.4,26.4,24.8,25.566666666666663,27.0,27.0,[27.0],1.0,24.8,26.0,25.0,1.0,,26.9,25.0,1.0,,27.3,26.0,1.0,,26.7,26.0,1.0,,27.3,25.0,1.0,26.4,27.7,25.0,1.0,,26.9,25.0,1.0,25.5,27.8,25.0
2023-05-30 18:10:00,,45224.36,25.7,25.5,25.566666666666663,27.2,27.2,[27.2],1.0,25.5,27.0,25.0,1.0,,26.8,25.0,1.0,,26.4,26.0,1.0,,26.6,26.0,1.0,,26.6,25.0,1.0,25.7,27.1,25.0,1.0,,26.1,25.0,1.0,25.5,27.1,25.0
2023-05-30 18:15:00,,45172.32,26.0,25.0,25.5,27.2,27.2,[27.2],1.0,25.0,26.2,25.0,1.0,,26.7,25.0,1.0,,26.9,26.0,1.0,,26.8,26.0,1.0,,26.6,25.0,1.0,26.0,27.0,25.0,1.0,,26.2,25.0,1.0,25.5,27.3,25.0
2023-05-30 18:20:00,,45308.52,26.2,24.6,25.46666666666667,27.2,27.2,[27.2],1.0,24.6,25.8,25.0,1.0,,26.8,25.0,1.0,,26.8,26.0,1.0,,26.8,26.0,1.0,,27.0,25.0,1.0,26.2,27.6,25.0,1.0,,26.5,25.0,1.0,25.6,27.6,25.0
2023-05-30 18:25:00,,45369.5,26.8,25.4,25.933333333333337,27.5,27.5,[27.5],1.0,25.4,26.6,25.0,1.0,,27.0,25.0,1.0,,26.8,26.0,1.0,,26.7,26.0,1.0,,27.5,25.0,1.0,26.8,28.1,25.0,1.0,,27.0,25.0,1.0,25.6,27.3,25.0
2023-05-30 18:30:00,,45295.7,25.9,24.9,25.46666666666667,27.3,27.3,[27.3],1.0,24.9,26.0,25.0,1.0,,27.0,25.0,1.0,,27.0,26.0,1.0,,26.7,26.0,1.0,,26.8,25.0,1.0,25.9,27.0,25.0,1.0,,26.1,25.0,1.0,25.6,27.6,25.0
2023-05-30 18:35:00,,45289.43,25.9,25.5,25.666666666666668,27.1,27.1,[27.1],1.0,25.5,26.7,25.0,1.0,,26.9,25.0,1.0,,26.6,26.0,1.0,,26.8,26.0,1.0,,26.5,25.0,1.0,25.9,27.2,25.0,1.0,,26.3,25.0,1.0,25.6,27.2,25.0
