地市,数据中心,机房名称,机房类别,状态记录,回退原因,开始调控日期,控制范围,机柜最高温,环境最高温,机柜预警线,机柜报警线,回风预警线,环境报警线,空调数量,机柜id,环境id,空调id,压线标志,控制描述,,,,,,
台州,台_C_三门县局,2F程控室,C,,,2023/4/6,24-28,31.8,26.6,59,60,29,29,1,,,,,,,,,,,
嘉兴,禾_D_海宁郭店(含C网)局,2F综合机房,D,,,2023/4/7,25-29,28.8,23.1,39,40,29,30,2,,,,,,,,,,,
嘉兴,禾_J_嘉善惠民(B)C网基站,1F综合机房,D,已回退,失败率过高,2023/4/7,25-29,30.8,23.9,39,40,29,30,1,,,,,,,,,,,
嘉兴,禾_L_嘉兴中山路(A)C网基站,8F综合机房,D,,,2023/4/7,25-29,30.5,25.1,39,40,29,30,2,,,,,,,,,,,
金华,婺_C_东阳望江局,4FZ01机房,C,已回退,空调在21，回风30度，环境28.2超过C类管控机房（已暂停AI）,2023/4/10,22-29,,,,,,,,,,,,,,,,,,
金华,婺_D_兰溪墩头局,2F综合机房,D,,,2023/4/11,25-29,34.5,31.3,39,40,29,33,1,,,,,,,,,,,
金华,婺_D_婺城汤溪局,2F综合机房,D,,,2023/4/11,25-29,30,25.8,59,60,30,32,1,,,,,,,,,,,
金华,婺_D_婺城雅畈局,2F综合机房,D,,,2023/4/11,25-29,32.9,27,59,60,32,34,1,,,,,,,,,,,
嘉兴,禾_C_平湖南市局,2FT01机房,C,,,2023/4/12,22-29,32.2,26.9,39,40,29,28,1,,,,,,,,,,,
嘉兴,禾_D_海盐百步局,2F综合机房,D,,,2023/4/12,22-29,35.5,25.9,39,40,29,30,2,,,,,,,,,,,
嘉兴,禾_D_海盐开发区东海花苑局,1F综合机房,D,,,2023/4/12,22-29,28.2,24.1,39,40,29,30,2,,,,,,,,,,,
嘉兴,禾_D_平湖全塘局,2F综合机房,D,,,2023/4/12,22-29,31,25.5,39,40,29,30,2,,,,,,,,,,,
台州,台_B_椒江枢纽大楼局,6FIDC机房1,B,,,2023/4/13,22-29,28.5,22.1,39,40,29,27,4,,,,,,,,,,,
丽水,丽_B_龙泉龙泉市局,3F综合机房,C,,,2023/4/14,22-29,34.7,26.6,39,40,29,32,4,,,,,,,,,,,
丽水,丽_B_龙泉龙泉市局,4F_IDC机房,C,,,2023/4/14,22-29,32.8,26.6,39,40,29,32,3,,,,,,,,,,,
丽水,丽_D_莲都白云小区局,1F综合机房,D,,,2023/4/14,22-29,38.1,29,40,41,29,30,3,,,,,,,,,,,
金华,婺_B_婺城江南局,3F综合机房,C,,,2023/4/14,22-29,36.1,26.3,39,40,29,27,1,,,,,,,,,,,
金华,婺_C_婺城秋滨局,2FZ01机房,C,,,2023/4/14,22-29,29.9,25.6,39,40,29,28,1,,,,,,,,,,,
金华,婺_C_义乌江东局,2FD01机房,C,,,2023/4/14,22-29,26.8,24.3,39,40,29,28,2,,,,,,,,,,,
金华,婺_D_兰溪下陈赵局,2F综合机房,D,,,2023/4/14,22-29,29.7,26.3,39,40,29,30,2,,,,,,,,,,,
嘉兴,禾_C_桐乡桐乡局,3F传输机房,C,,,2023/4/21,25-29,32.7,27.4,39,40,29,28,4,,,,,,,,,,,
台州,台_B_椒江枢纽大楼局,2F10000号机房,C,,,2023/4/21,22-29,32.9,27.8,39,40,29,28,3,,,,,,,,,,,
台州,台_C_温岭三星大楼局,5F数据机房2,C,,,2023/4/21,22-29,30.8,25.5,39,40,29,28,4,,,,,,,,,,,
宁波,甬_C_慈溪杭州湾中心局,1F综合机房,C,,,2023/4/21,22-29,28.7,23.6,39,40,29,28,2,,,,,,,,,,,
宁波,甬_C_海曙鄞石碶局,2F综合机房,C,,,2023/4/21,22-29,37.7,27.3,39,40,29,28,5,,,,,,,,,,,
